Date;Ball1;Ball2;Ball3;Ball4;Ball5;Powerball
7/5/2016;5;25;26;44;66;9
11/5/2016;20;32;52;66;69;23
14/5/2016;13;27;47;64;65;9
18/5/2016;23;25;39;54;67;11
21/5/2016;5;7;9;23;32;26
25/5/2016;11;24;41;59;64;15
28/5/2016;6;33;34;58;59;12
1/6/2016;23;30;33;40;69;12
4/6/2016;16;20;22;43;64;17
8/6/2016;12;25;37;60;69;20
11/6/2016;20;27;36;41;58;7
15/6/2016;4;22;24;31;33;10
18/6/2016;2;23;41;53;63;11
22/6/2016;14;40;42;43;52;17
25/6/2016;3;27;36;56;69;25
29/6/2016;23;29;37;60;64;6
2/7/2016;10;34;39;59;63;4
6/7/2016;2;24;31;57;66;18
9/7/2016;10;28;32;61;64;12
13/7/2016;3;15;29;54;57;10
16/7/2016;11;17;40;50;62;26
20/7/2016;6;25;35;58;66;5
23/7/2016;5;7;23;35;39;11
27/7/2016;10;47;50;65;68;24
30/7/2016;11;17;21;23;32;5
3/8/2016;9;11;27;66;67;2
6/8/2016;20;33;36;47;52;12
10/8/2016;23;56;61;64;67;12
13/8/2016;38;44;60;64;69;6
17/8/2016;33;44;49;50;52;8
20/8/2016;3;6;21;60;68;24
24/8/2016;9;11;25;64;65;16
27/8/2016;4;32;48;49;63;20
31/8/2016;5;10;24;56;61;12
3/9/2016;7;39;50;59;67;25
7/9/2016;22;23;29;33;55;21
10/9/2016;3;17;49;55;68;8
14/9/2016;10;11;23;28;31;14
17/9/2016;9;19;51;55;62;14
21/9/2016;1;28;63;67;69;17
24/9/2016;7;15;20;29;41;22
28/9/2016;30;38;52;53;62;1
1/10/2016;2;12;50;61;64;1
5/10/2016;8;18;27;29;60;15
8/10/2016;3;54;61;64;68;9
12/10/2016;16;30;34;37;44;16
15/10/2016;23;49;57;64;67;20
19/10/2016;10;16;38;43;63;23
22/10/2016;1;28;33;55;56;22
26/10/2016;2;3;16;48;56;24
29/10/2016;19;20;21;42;48;23
2/11/2016;13;18;37;54;61;5
5/11/2016;21;31;50;51;69;8
9/11/2016;1;25;28;31;54;2
12/11/2016;8;17;20;27;52;24
16/11/2016;28;41;61;63;65;7
19/11/2016;16;24;28;43;61;21
23/11/2016;7;32;41;47;61;3
26/11/2016;17;19;21;37;44;16
30/11/2016;3;14;18;25;45;7
3/12/2016;8;10;26;27;33;22
7/12/2016;41;48;49;53;64;20
10/12/2016;12;21;32;44;66;15
14/12/2016;18;26;37;39;66;15
17/12/2016;1;8;16;40;48;10
21/12/2016;25;33;40;54;68;3
24/12/2016;28;38;42;51;52;21
28/12/2016;16;23;30;44;58;4
31/12/2016;1;3;28;57;67;9
4/1/2017;16;17;29;41;42;4
7/1/2017;3;12;24;37;63;10
11/1/2017;1;3;13;16;43;24
14/1/2017;23;55;59;64;69;13
18/1/2017;9;40;41;53;58;12
21/1/2017;23;25;45;52;67;2
25/1/2017;18;28;62;66;68;22
28/1/2017;12;20;39;49;69;17
